,title,studio,domestic_gross,foreign_gross,year,id,production_budget,profitability
2841,Atomic Blonde,Focus,51700000.0,48300000.0,2017.0,94.0,30000000.0,70000000.0
1941,Paul Blart: Mall Cop 2,Sony,71000000.0,36600000.0,2015.0,60.0,38000000.0,69600000.0
2402,Office Christmas Party,Par.,54800000.0,59700000.0,2016.0,81.0,45000000.0,69500000.0
1201,Safe Haven,Rela.,71300000.0,26200000.0,2013.0,41.0,28000000.0,69500000.0
3160,Hereditary,A24,44100000.0,35300000.0,2018.0,56.0,10000000.0,69400000.0
2378,The Divergent Series: Allegiant,LG/S,66200000.0,113100000.0,2016.0,34.0,110000000.0,69300000.0
810,Act of Valor,Rela.,70000000.0,11300000.0,2012.0,52.0,12000000.0,69300000.0
72,The Last Song,BV,63000000.0,26100000.0,2010.0,15.0,20000000.0,69100000.0
2849,Lady Bird,A24,49000000.0,30000000.0,2017.0,53.0,10000000.0,69000000.0
1959,Paranormal Activity: The Ghost Dimension,Par.,18300000.0,60600000.0,2015.0,7.0,10000000.0,68900000.0
67,Kick-Ass,LGF,48100000.0,48100000.0,2010.0,54.0,28000000.0,68200000.0
789,The Pirates! Band of Misfits,Sony,31100000.0,92000000.0,2012.0,34.0,55000000.0,68100000.0
378,Tower Heist,Uni.,78000000.0,74900000.0,2011.0,5.0,85000000.0,67900000.0
1565,If I Stay,WB (NL),50500000.0,28400000.0,2014.0,73.0,11000000.0,67900000.0
61,Life as We Know It,WB,53400000.0,52300000.0,2010.0,64.0,38000000.0,67700000.0
1547,Horrible Bosses 2,WB,54400000.0,53200000.0,2014.0,31.0,40000000.0,67600000.0
1185,Escape Plan,LG/S,25100000.0,112200000.0,2013.0,37.0,70000000.0,67300000.0
42,The A-Team,Fox,77200000.0,100000000.0,2010.0,32.0,110000000.0,67200000.0
83,Easy A,SGem,58400000.0,16600000.0,2010.0,67.0,8000000.0,67000000.0
1927,The Last Witch Hunter,LG/S,27400000.0,119600000.0,2015.0,96.0,80000000.0,67000000.0
1557,The Hundred-Foot Journey,BV,54200000.0,34600000.0,2014.0,13.0,22000000.0,66800000.0
2411,Money Monster,TriS,41000000.0,52300000.0,2016.0,98.0,27000000.0,66300000.0
89,The Last Exorcism,LGF,41000000.0,26700000.0,2010.0,15.0,1800000.0,65900000.0
2417,Nerve,LGF,38600000.0,46700000.0,2016.0,43.0,20000000.0,65300000.0
60,Tooth Fairy,Fox,60000000.0,52400000.0,2010.0,23.0,48000000.0,64400000.0
1208,Dhoom 3,Yash,8000000.0,80000000.0,2013.0,60.0,24000000.0,64000000.0
1966,Unfriended,Uni.,32500000.0,31600000.0,2015.0,14.0,1000000.0,63100000.0
3150,I Feel Pretty,STX,48800000.0,45700000.0,2018.0,99.0,32000000.0,62500000.0
385,Arthur Christmas,Sony,46500000.0,101000000.0,2011.0,14.0,85000000.0,62500000.0
1953,Southpaw,Wein.,52400000.0,39500000.0,2015.0,92.0,30000000.0,61900000.0
2424,Miracles from Heaven,TriS,61700000.0,12200000.0,2016.0,50.0,13000000.0,60900000.0
82,Diary of a Wimpy Kid,Fox,64000000.0,11700000.0,2010.0,13.0,15000000.0,60700000.0
78,Vampires Suck,Fox,36700000.0,43900000.0,2010.0,49.0,20000000.0,60600000.0
1200,Riddick,Uni.,42000000.0,56300000.0,2013.0,66.0,38000000.0,60300000.0
398,Moneyball,Sony,75600000.0,34600000.0,2011.0,15.0,50000000.0,60200000.0
75,Piranha 3D,W/Dim.,25000000.0,58200000.0,2010.0,52.0,24000000.0,59200000.0
404,The Rite,WB (NL),33000000.0,63000000.0,2011.0,100.0,37000000.0,59000000.0
1558,John Wick,LG/S,43000000.0,45700000.0,2014.0,6.0,30000000.0,58700000.0
1223,One Direction: This is Us,TriS,28900000.0,39700000.0,2013.0,88.0,10000000.0,58600000.0
409,Spy Kids: All the Time in the World,W/Dim.,38500000.0,47000000.0,2011.0,100.0,27000000.0,58500000.0
405,Dolphin Tale,WB,72300000.0,23100000.0,2011.0,93.0,37000000.0,58400000.0
3152,Goosebumps 2: Haunted Halloween,Sony,46700000.0,46600000.0,2018.0,63.0,35000000.0,58300000.0
2846,Rings,Par.,27800000.0,55300000.0,2017.0,38.0,25000000.0,58100000.0
401,Paul,Uni.,37400000.0,60600000.0,2011.0,58.0,40000000.0,58000000.0
